Source;Target;Type
5;58;Directed
5;35;Directed
5;12;Directed
5;13;Directed
5;59;Directed
5;94;Directed
5;74;Directed
5;16;Directed
5;83;Directed
5;17;Directed
5;18;Directed
5;45;Directed
5;19;Directed
5;60;Directed
5;61;Directed
5;62;Directed
5;20;Directed
5;63;Directed
5;80;Directed
5;64;Directed
5;21;Directed
5;66;Directed
5;25;Directed
5;81;Directed
5;36;Directed
5;26;Directed
5;95;Directed
5;68;Directed
5;82;Directed
50;46;Directed
50;47;Directed
50;2;Directed
50;48;Directed
50;49;Directed
50;2;Directed
50;48;Directed
50;33;Directed
50;6;Directed
50;53;Directed
50;34;Directed
50;54;Directed
50;55;Directed
50;10;Directed
50;43;Directed
50;57;Directed
50;58;Directed
50;12;Directed
50;59;Directed
50;14;Directed
50;74;Directed
50;17;Directed
50;18;Directed
50;60;Directed
50;61;Directed
50;62;Directed
50;20;Directed
50;64;Directed
50;21;Directed
50;68;Directed
33;31;Directed
33;46;Directed
33;47;Directed
33;32;Directed
33;2;Directed
33;48;Directed
33;49;Directed
33;5;Directed
33;50;Directed
33;32;Directed
33;6;Directed
33;51;Directed
33;9;Directed
33;53;Directed
33;34;Directed
33;54;Directed
33;55;Directed
33;10;Directed
33;43;Directed
33;57;Directed
33;91;Directed
33;96;Directed
33;58;Directed
33;12;Directed
33;59;Directed
33;14;Directed
33;74;Directed
33;83;Directed
33;17;Directed
33;18;Directed
33;19;Directed
33;60;Directed
33;61;Directed
33;62;Directed
33;20;Directed
33;64;Directed
33;65;Directed
33;21;Directed
33;81;Directed
33;36;Directed
33;26;Directed
33;68;Directed
33;30;Directed
6;0;Directed
6;46;Directed
6;47;Directed
6;2;Directed
6;48;Directed
6;49;Directed
6;33;Directed
6;7;Directed
6;8;Directed
6;53;Directed
6;55;Directed
6;56;Directed
6;11;Directed
6;58;Directed
6;12;Directed
6;13;Directed
6;59;Directed
6;15;Directed
6;16;Directed
6;17;Directed
6;18;Directed
6;60;Directed
6;61;Directed
6;62;Directed
6;20;Directed
6;64;Directed
6;21;Directed
6;26;Directed
6;41;Directed
6;28;Directed
6;69;Directed
39;37;Directed
39;2;Directed
39;3;Directed
39;3;Directed
39;9;Directed
39;44;Directed
39;15;Directed
39;18;Directed
39;45;Directed
39;40;Directed
39;65;Directed
39;67;Directed
39;23;Directed
39;24;Directed
39;41;Directed
39;28;Directed
39;30;Directed
72;31;Directed
72;42;Directed
72;70;Directed
72;1;Directed
72;71;Directed
72;39;Directed
72;31;Directed
72;42;Directed
72;70;Directed
72;71;Directed
72;39;Directed
72;51;Directed
72;34;Directed
72;73;Directed
72;43;Directed
72;84;Directed
72;44;Directed
72;91;Directed
72;97;Directed
72;58;Directed
72;85;Directed
72;13;Directed
72;59;Directed
72;14;Directed
72;15;Directed
72;83;Directed
72;45;Directed
72;61;Directed
72;76;Directed
72;77;Directed
72;20;Directed
72;87;Directed
72;65;Directed
72;21;Directed
72;67;Directed
72;88;Directed
72;24;Directed
72;89;Directed
72;81;Directed
72;36;Directed
72;26;Directed
51;2;Directed
51;5;Directed
51;2;Directed
51;52;Directed
51;73;Directed
51;96;Directed
51;83;Directed
51;18;Directed
51;98;Directed
51;82;Directed
7;0;Directed
7;37;Directed
7;1;Directed
7;2;Directed
7;48;Directed
7;3;Directed
7;5;Directed
7;6;Directed
7;37;Directed
7;3;Directed
7;5;Directed
7;8;Directed
7;10;Directed
7;11;Directed
7;44;Directed
7;91;Directed
7;96;Directed
7;35;Directed
7;93;Directed
7;12;Directed
7;13;Directed
7;59;Directed
7;15;Directed
7;83;Directed
7;18;Directed
7;45;Directed
7;20;Directed
7;65;Directed
7;23;Directed
7;24;Directed
7;25;Directed
7;92;Directed
7;41;Directed
7;28;Directed
7;29;Directed
7;82;Directed
52;46;Directed
52;32;Directed
52;48;Directed
52;49;Directed
52;50;Directed
52;6;Directed
52;32;Directed
52;48;Directed
52;50;Directed
52;6;Directed
52;53;Directed
52;34;Directed
52;54;Directed
52;55;Directed
52;43;Directed
52;57;Directed
52;58;Directed
52;35;Directed
52;12;Directed
52;59;Directed
52;94;Directed
52;74;Directed
52;17;Directed
52;18;Directed
52;19;Directed
52;61;Directed
52;62;Directed
52;20;Directed
52;63;Directed
52;80;Directed
52;64;Directed
52;21;Directed
52;26;Directed
52;95;Directed
52;68;Directed
8;0;Directed
8;1;Directed
8;4;Directed
8;6;Directed
8;7;Directed
8;4;Directed
8;9;Directed
8;54;Directed
8;59;Directed
8;15;Directed
8;17;Directed
8;62;Directed
8;21;Directed
8;67;Directed
8;22;Directed
8;24;Directed
8;28;Directed
9;0;Directed
9;1;Directed
9;38;Directed
9;39;Directed
9;7;Directed
9;8;Directed
9;7;Directed
9;10;Directed
9;11;Directed
9;44;Directed
9;91;Directed
9;13;Directed
9;15;Directed
9;16;Directed
9;18;Directed
9;77;Directed
9;23;Directed
9;81;Directed
9;41;Directed
9;30;Directed
53;46;Directed
53;32;Directed
53;48;Directed
53;49;Directed
53;5;Directed
53;50;Directed
53;6;Directed
53;52;Directed
53;54;Directed
53;55;Directed
53;10;Directed
53;43;Directed
53;96;Directed
53;12;Directed
53;13;Directed
53;59;Directed
53;15;Directed
53;16;Directed
53;83;Directed
53;17;Directed
53;18;Directed
53;19;Directed
